"id_producto","id_orden","cantidad","precio_unitario","subtotal","nombre"
28,1,1,"130.00","130.00","Alamb Bist"
32,2,1,"140.00","140.00","Tacos Gober"
50,2,1,"160.00","160.00","Cam Ajillo"
47,2,1,"190.00","190.00","Coctel Cam Gde"
79,2,1,"20.00","20.00","Agua Dia 1L"
82,2,1,"50.00","50.00","Agua Nat 2L"
21,3,1,"220.00","220.00","Ribeye"
67,4,1,"100.00","100.00","Chilaq c Bist"
70,4,1,"25.00","25.00","Refresco"
30,5,1,"130.00","130.00","Alamb Pollo"
28,5,1,"130.00","130.00","Alamb Bist"
28,6,1,"130.00","130.00","Alamb Bist"
31,6,1,"180.00","180.00","Alamb Camar"
29,6,1,"130.00","130.00","Alamb Past"
31,7,1,"180.00","180.00","Alamb Camar"
28,8,1,"130.00","130.00","Alamb Bist"
28,9,1,"130.00","130.00","Alamb Bist"
30,9,1,"130.00","130.00","Alamb Pollo"
50,9,1,"160.00","160.00","Cam Ajillo"
47,9,1,"190.00","190.00","Coctel Cam Gde"
28,10,1,"130.00","130.00","Alamb Bist"
28,11,1,"130.00","130.00","Alamb Bist"
5,12,1,"100.00","100.00","Burrito Pollo"
28,13,1,"130.00","130.00","Alamb Bist"
14,14,1,"90.00","90.00","Enchi Suiz"
10,14,1,"80.00","80.00","Enchi Verd"
84,15,1,"65.00","65.00","Corrida"
84,16,1,"65.00","65.00","Corrida"
84,17,1,"65.00","65.00","Corrida"
38,18,1,"90.00","90.00","Pech Placha"
79,18,1,"20.00","20.00","Agua Dia 1L"
84,19,1,"65.00","65.00","Corrida"
84,20,4,"65.00","260.00","Corrida"
84,21,2,"65.00","130.00","Corrida"
17,22,1,"110.00","110.00","Milanesa Res"
79,23,1,"20.00","20.00","Agua Dia 1L"
35,24,1,"130.00","130.00","Alitas BBQ"
51,24,1,"160.00","160.00","Cam Diabla"
80,24,1,"35.00","35.00","Agua Dia 2L"
1,25,1,"75.00","75.00","Sopa Azteca"
87,25,1,"50.00","50.00","Miche"
28,26,1,"130.00","130.00","Alamb Bist"
82,27,1,"50.00","50.00","Agua Nat 2L"
16,27,1,"100.00","100.00","Carne Asad"
84,28,1,"65.00","65.00","Corrida"
60,29,1,"380.00","380.00","Parillada 3P"
41,30,1,"100.00","100.00","Pech Mexicana"
70,30,1,"25.00","25.00","Refresco"
70,31,3,"25.00","75.00","Refresco"
16,32,1,"100.00","100.00","Carne Asad"
70,32,1,"25.00","25.00","Refresco"
25,33,1,"85.00","85.00","Hambur Res"
10,33,1,"80.00","80.00","Enchi Verd"
70,33,2,"25.00","50.00","Refresco"
14,34,1,"90.00","90.00","Enchi Suiz"
70,34,1,"25.00","25.00","Refresco"
16,35,1,"100.00","100.00","Carne Asad"
86,35,1,"10.00","10.00","Huevo"
1,36,1,"75.00","75.00","Sopa Azteca"
16,36,1,"100.00","100.00","Carne Asad"
43,36,1,"110.00","110.00","Pech Cord Blue"
3,36,1,"80.00","80.00","Sincronizadas"
86,36,1,"10.00","10.00","Huevo"
82,36,1,"50.00","50.00","Agua Nat 2L"
36,37,1,"130.00","130.00","Alitas Buf"
37,37,1,"130.00","130.00","Alitas Man Hab"
74,37,1,"45.00","45.00","Naranjada"
75,37,1,"45.00","45.00","Sangria Prep"
16,37,1,"100.00","100.00","Carne Asad"
84,38,3,"65.00","195.00","Corrida"
86,38,1,"10.00","10.00","Huevo"
86,39,2,"10.00","20.00","Huevo"
23,40,1,"90.00","90.00","Ensalad Manz"
43,40,1,"110.00","110.00","Pech Cord Blue"
